id,name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
140698,"1905 Heritage Loft, Main/Broadway, Olympic Village",69640,Mount Pleasant,49.26292,-123.10581,Entire home/apt,98,4,100,2019-06-24,1.02,1,288
160157,City Centre and Walk to Beach,767559,West End,49.28232,-123.12954,Entire home/apt,108,2,421,2019-07-03,4.33,1,12
170137,Family friendly Point Grey Home,381497,Dunbar Southlands,49.2571,-123.19101,Entire home/apt,174,1,132,2019-07-01,1.38,1,268
172827,Charming and Homely Downtown Penthouse - Sleeps 6!,19982,West End,49.28161,-123.12696,Entire home/apt,350,3,4,2019-01-05,0.34,1,18
174135,VANCOUVER'S BEST PRIVATE SUITE/LOFT,831892,Downtown Eastside,49.27782,-123.08985,Entire home/apt,100,30,116,2018-04-04,1.22,1,46
182451,KITS SUPER CENTRAL DELIGHTFULL APT!,874660,Kitsilano,49.25962,-123.16848,Entire home/apt,93,30,51,2018-12-25,0.53,3,110
194806,D28 - Spectacular 2 bedroom,30899,Downtown,49.27936,-123.10934,Entire home/apt,125,30,28,2019-02-03,0.3,36,332
196722,"Three bedrooms, fantastic location!",958297,Grandview-Woodland,49.26364,-123.06967,Entire home/apt,209,5,11,2019-01-05,0.18,2,132
200643,This is the door to Vancouver USW,981145,Downtown Eastside,49.27384,-123.08289,Private room,87,1,125,2019-07-07,1.51,4,292
202211,Trout Lake Haven !,989790,Kensington-Cedar Cottage,49.25381,-123.05951,Private room,80,1,159,2019-06-01,1.66,4,38
202397, DT VANCOUVER/CENTRAL TO EVERYTHING,991152,Downtown,49.27598,-123.12933,Entire home/apt,100,30,29,2019-06-14,0.35,1,99
219261,A Real Gem in the Heart of Kits,1135259,Kitsilano,49.27246,-123.14954,Entire home/apt,199,1,145,2019-06-26,4.19,2,225
226731,Vancouver central- 1bdrm private condo,560892,Downtown,49.28406,-123.11598,Entire home/apt,164,30,10,2018-09-23,0.14,3,344
226757,"Amazing views, Cultural heart of Vancouver-Robson3",560892,Downtown,49.28119,-123.11883,Entire home/apt,209,30,7,2018-09-01,0.08,3,246
236297,West End Retreat - Private Room/Bath,1238915,West End,49.29,-123.14087,Private room,150,1,36,2019-06-22,0.6,1,84
248014,"Stunning views, comfort, location!!",1299977,Grandview-Woodland,49.29074,-123.05849,Entire home/apt,80,31,1,2014-09-04,0.02,1,156
248973,East Vancouver Hidden Gem,1304461,Hastings-Sunrise,49.28053,-123.05494,Entire home/apt,140,2,78,2019-06-24,0.84,2,288
249106,East Vancouver Loft,1304461,Hastings-Sunrise,49.28035,-123.05365,Shared room,45,2,92,2019-05-29,0.98,2,257
254657,Heritage Loft in heart of Gastown,241920,Downtown Eastside,49.28273,-123.10492,Entire home/apt,198,3,63,2019-07-07,0.83,1,4
256178,Luxury Coach House in Kitsilano license (Phone number hidden by Airbnb),1267409,Kitsilano,49.26291,-123.17216,Entire home/apt,300,4,7,2019-05-29,0.09,2,98
257163,"Lg. Room, Private Bath & Breakfast!",70797,Kensington-Cedar Cottage,49.24003,-123.0639,Private room,67,3,38,2019-05-22,0.42,1,15
258636,FABULOUS Luxury Downtown Vancouver!,948852,Downtown,49.27796,-123.12671,Entire home/apt,98,120,52,2018-10-28,0.57,1,153
306178,Sunset views - LGBTQ2+ friendly,1574553,Renfrew-Collingwood,49.23311,-123.02669,Private room,66,2,64,2019-07-05,0.78,2,75
311354,Close to downtown/shops/restaurants/skytrain,58512,Grandview-Woodland,49.26415,-123.07008,Entire home/apt,199,30,4,2019-05-29,0.21,2,0
325795,"Spotless 1B Apt. 5 min walk to Commerical ""Drive""",343195,Grandview-Woodland,49.26634,-123.06207,Entire home/apt,80,3,186,2019-07-04,2.13,2,230
359942,Stylish Dwntwn Condo-female/couple ,1200456,Downtown,49.27825,-123.11865,Private room,300,30,41,2018-09-18,0.46,8,365
363705,This is the door to Vancouver USE,981145,Downtown Eastside,49.27711,-123.07861,Private room,73,1,88,2019-07-06,1.02,4,289
377706,Bright Spacious Bedroom Pvt Bath,1898008,Grandview-Woodland,49.279,-123.06977,Private room,42,30,55,2019-04-10,0.66,1,282
415700,"LARGE PRIVATE ROOM+ BATH, SEPARATE ENTRY, KING BED",83871,Renfrew-Collingwood,49.23468,-123.05508,Private room,50,2,179,2019-07-03,2.03,3,313
416453,Ultra Modern Studio in Chinatown,1318151,Downtown Eastside,49.27844,-123.09986,Entire home/apt,150,30,44,2019-07-08,0.51,1,160
417047,New 2 BR Only Minutes from Downtown,2074212,Downtown Eastside,49.27782,-123.09209,Entire home/apt,110,2,189,2019-06-22,2.16,1,65
419437,Trout  Lake  Haven,989790,Kensington-Cedar Cottage,49.25231,-123.06134,Private room,80,1,86,2019-06-20,0.98,4,315
436032,Trendy & Spacious 2 bd Gastown Loft,2165986,Downtown Eastside,49.28297,-123.10393,Entire home/apt,245,4,64,2019-06-24,0.74,1,12
438881,Small private room close to Airport,1405499,Marpole,49.20623,-123.13637,Private room,28,32,63,2019-04-30,0.72,1,63
448104,Modern Charm in Downtown Vancouver,179396,West End,49.28145,-123.12582,Entire home/apt,138,28,244,2019-05-31,2.8,5,91
461370,Lovely large room w/ private bath ,1200456,Killarney,49.22814,-123.03149,Private room,98,2,42,2019-05-27,0.5,8,365
461386,Beautiful room (s) Vancouver Home ,1200456,Killarney,49.22846,-123.03121,Private room,98,2,33,2019-07-07,0.38,8,360
475296,1400 sqft LOFT PENTHOUSE IN GASTOWN WITH TWO DECKS,2356016,Downtown Eastside,49.28339,-123.10453,Entire home/apt,350,1,109,2019-07-07,1.51,1,322
496298,"Downtown 1Bed+Den, stylish & modern",2451689,Downtown,49.27996,-123.11684,Entire home/apt,119,31,154,2019-02-02,1.8,1,320
497641,Spacious Blue Room in Large House,2456973,Fairview,49.2589,-123.12998,Private room,100,30,25,2019-05-27,0.29,6,278
498112,Central Modern House with View and 2 Kitchens,2459577,Kensington-Cedar Cottage,49.2487,-123.07002,Entire home/apt,375,5,23,2019-07-06,0.27,2,317
507767,One Bedroom Suite @ the Luxurious LEVEL Vancouver,2502595,Downtown,49.2775,-123.12296,Entire home/apt,230,31,2,2014-08-31,0.03,19,352
523272,Adorable 3 Bedroom Cambie Craftsman,2572830,South Cambie,49.25529,-123.11692,Entire home/apt,235,4,27,2019-03-29,0.31,1,187
540348,Modern Architectural Home Lakeside sleeps 6,2655554,Kensington-Cedar Cottage,49.25761,-123.06393,Entire home/apt,331,1,22,2019-06-23,0.31,2,283
557357,Commercial Dr West Coast Garden Ste,525761,Grandview-Woodland,49.27909,-123.06272,Entire home/apt,70,30,184,2018-08-29,2.16,2,92
591778,Mai Lodging - 4204 Double 8,9187,Kensington-Cedar Cottage,49.24772,-123.0651,Private room,39,2,20,2019-07-06,0.24,5,339
591782,Mai Lodging - Queen Bed  1,9187,Kensington-Cedar Cottage,49.24814,-123.06696,Private room,60,2,11,2015-07-09,0.13,5,291
622217,Sub-Penthouse with Amazing Views in Heart of City,3084195,Downtown,49.27801,-123.10715,Entire home/apt,349,2,21,2019-07-06,0.29,2,324
625396,Close to Jericho beach garden level loft.,3102862,Kitsilano,49.27063,-123.18412,Entire home/apt,199,2,149,2019-07-09,1.77,2,308
637617,Commercial Drive Character Suite,3181196,Grandview-Woodland,49.27827,-123.07237,Entire home/apt,150,6,18,2019-03-29,0.22,1,257
648026,Quiet Oasis Garden Suite - Steps from the Drive,893727,Grandview-Woodland,49.26966,-123.06855,Entire home/apt,80,30,52,2018-11-04,0.63,1,90
648278,"Furnished ,spacious rooms, near VGH",2456973,Fairview,49.25903,-123.13166,Private room,110,30,12,2019-06-12,0.18,6,256
654744,English Bay Hideaway @ Stanley Park,2796859,West End,49.29262,-123.14143,Entire home/apt,165,30,54,2019-06-03,0.73,1,314
654763,1 Bedroom Private Furnished Suite,2459577,Kensington-Cedar Cottage,49.25145,-123.07335,Entire home/apt,77,30,24,2019-07-06,0.32,2,0
659986,Near DOWNTOWN+CAMBIE---PRIVATE BATH,84820,South Cambie,49.24413,-123.11955,Private room,115,31,27,2018-05-06,0.34,1,90
670259,Cozy room in 100 year old home,2818180,Kensington-Cedar Cottage,49.2619,-123.07239,Private room,60,30,87,2019-03-31,1.12,1,213
685239,Sunny Side Up- tiny home,3494649,Hastings-Sunrise,49.27484,-123.03704,Entire home/apt,119,3,59,2018-09-27,0.71,2,80
688038,Vancouver's Beach At Your Doorstep,268742,West End,49.27911,-123.13774,Entire home/apt,295,2,27,2018-12-30,0.33,1,310
688828,3 bedroom family home in amazing location,1465740,Kitsilano,49.27063,-123.17998,Entire home/apt,258,4,7,2016-08-31,0.15,1,14
703179,Cute room in a condo full of art,3246254,Downtown Eastside,49.28115,-123.10778,Private room,85,1,120,2019-07-06,1.51,1,93
713271,Luxury Seaview Studio Suite - Westend,3671073,West End,49.28081,-123.13615,Entire home/apt,135,30,72,2018-12-18,0.98,1,306
727856,1 bedroom apartment - Amazing Location,560892,Downtown,49.28387,-123.11732,Entire home/apt,157,30,4,2017-07-03,0.08,3,326
731219,Kitsilano Laneway House - Quiet Neighbourhood,3804851,Kitsilano,49.2595,-123.18244,Entire home/apt,150,31,8,2018-10-31,0.11,1,201
732895,Best Location in Downtown - Bright Beautiful 1bdr,179396,Downtown,49.28195,-123.12383,Entire home/apt,138,28,193,2019-06-29,2.41,5,69
735468,ENGLISH BAY VIEWS,3462044,West End,49.2827,-123.13595,Entire home/apt,150,2,62,2019-06-25,4.3,1,348
736244,Kitsilano Garden Suite West,3842332,Kitsilano,49.26728,-123.18513,Entire home/apt,150,4,280,2019-06-14,3.47,4,176
755558,Kitsilano 2 bdrm Garden Level Suite,3976484,Kitsilano,49.25938,-123.16551,Entire home/apt,125,5,58,2019-06-28,0.8,1,9
763445,Very Convenient Mini-suite,169365,Renfrew-Collingwood,49.24628,-123.04341,Entire home/apt,41,5,143,2019-06-21,1.8,1,9
771366,Gorgeous and Spacious Yaletown LEVEL Suite,2502595,Downtown,49.27784,-123.12212,Entire home/apt,199,31,2,2014-07-02,0.03,19,350
771380,Stunning Two Bedroom Unit in Downtown Vancouver,2502595,Downtown,49.27897,-123.12195,Entire home/apt,350,31,7,2014-10-01,0.09,19,337
784153,The Garden Quarter in Kitsilano,3211112,Kitsilano,49.26242,-123.1737,Entire home/apt,66,30,39,2019-06-01,0.49,3,132
785297,The Nook in Kitsilano,3211112,Kitsilano,49.26364,-123.17482,Private room,47,14,52,2019-06-27,0.64,3,178
785752,The Garden Nook in Kitsilano,3211112,Kitsilano,49.26296,-123.1735,Entire home/apt,114,30,3,2016-09-17,0.04,3,203
798293,Studio apartment-like a 3+star hotel,72649,West End,49.27849,-123.13193,Entire home/apt,119,5,54,2019-05-01,0.68,1,12
801222,fully furnished suite near VGH,4217281,Fairview,49.25848,-123.12257,Entire home/apt,106,30,20,2017-07-29,0.26,3,197
